timestamp,open,high,low,close
2025-02-27,2916.85,2920.85,2868.1,2877.07
2025-02-28,2877.065,2885.095,2832.885,2854.945
2025-03-03,2855.6,2895.305,2855.6,2892.82
2025-03-04,2892.57,2927.84,2882.08,2917.99
2025-03-05,2917.855,2929.88,2894.65,2919.17
2025-03-06,2919.51,2926.55,2891.52,2911.14
2025-03-07,2911.37,2930.25,2897.39,2909.36
2025-03-10,2911.96,2918.3,2880.33,2884.98
2025-03-11,2884.86,2922.12,2880.97,2917.51
2025-03-12,2917.65,2940.44,2906.35,2938.16
2025-03-13,2938.25,2989.765,2933.03,2987.325
2025-03-14,2987.355,3004.945,2978.865,2985.045
2025-03-17,2989.135,3003.66,2982.325,3000.285
2025-03-18,3000.295,3038.205,2999.695,3034.55
2025-03-19,3034.65,3051.98,3023.07,3050.21
2025-03-20,3050.17,3057.34,3025.85,3045.81
2025-03-21,3045.75,3047.55,2999.61,3023.84
2025-03-24,3025.68,3033.34,3002.61,3011.56
2025-03-25,3011.59,3035.89,3007.73,3021.42
2025-03-26,3021.38,3032.08,3012.47,3019.32
2025-03-27,3019.5,3059.38,3017.73,3055.22
2025-03-28,3055.31,3086.81,3054.33,3085.25
2025-03-31,3088.82,3127.695,3076.935,3123.275
2025-04-01,3123.28,3149.01,3101.12,3114.36
2025-04-02,3114.345,3142.425,3105.515,3135.565
2025-04-03,3138.74,3167.59,3054.25,3114.735
2025-04-04,3115.1,3136.235,3015.985,3036.385
2025-04-07,3015.76,3054.69,2956.88,2983.235
2025-04-08,2981.645,3022.745,2975.025,2982.835
2025-04-09,2983.205,3099.235,2970.375,3082.94
2025-04-10,3083.905,3176.405,3071.575,3175.605
2025-04-11,3175.75,3245.45,3175.75,3230.98
2025-04-14,3228.38,3245.685,3193.835,3210.705
2025-04-15,3211.655,3233.405,3210.215,3230.065
2025-04-16,3230.845,3343.24,3229.935,3343.055
2025-04-17,3343.315,3357.635,3284.345,3327.365
2025-04-21,3332.605,3430.535,3329.445,3424.405
2025-04-22,3423.945,3499.955,3367.495,3381.16
2025-04-23,3353.18,3386.35,3261.15,3288.33
2025-04-24,3289.73,3367.32,3289.73,3349.595
2025-04-25,3351.305,3370.665,3265.425,3304.985
2025-04-28,3325.35,3352.995,3268.435,3343.885
2025-04-29,3344.785,3348.575,3300.085,3317.245
2025-04-30,3315.29,3327.845,3267.735,3288.4
2025-05-01,3287.955,3290.18,3202.78,3238.95
2025-05-02,3240.495,3269.29,3223.13,3233.67
2025-05-05,3241.03,3337.455,3237.935,3333.915
2025-05-06,3335.865,3434.945,3323.775,3431.765
2025-05-07,3437.845,3437.935,3360.485,3364.485
2025-05-08,3364.48,3414.54,3289.18,3305.51
2025-05-09,3306.79,3347.395,3274.845,3328.945
2025-05-12,3271.86,3311.24,3207.875,3235.915
2025-05-13,3238.655,3265.145,3216.195,3250.225
2025-05-14,3250.22,3257.12,3169.04,3177.53
2025-05-15,3177.33,3240.67,3121.19,3239.83
2025-05-16,3240.23,3252.16,3154.69,3192.46
2025-05-19,3210.48,3249.705,3207.105,3229.755
2025-05-20,3230.68,3295.755,3204.685,3289.985
2025-05-21,3290.6,3324.85,3286.11,3315.43
2025-05-22,3315.425,3345.365,3280.575,3294.745
2025-05-23,3294.75,3365.91,3287.32,3360.91
2025-05-26,3355.43,3356.62,3324.4,3342.25
2025-05-27,3343.13,3349.785,3286.555,3300.705
2025-05-28,3301.715,3325.395,3277.105,3287.525
2025-05-29,3287.52,3330.64,3245.72,3317.72
